trials.thisN,trials.intensity,key_resp.corr,,,,,,,,trials.thisN,trials.intensity,,,
0,0.05,1,,,,,,,,0,0.05,,,
1,0.049942468,1,,,,,,,,1,0.049942468,,,
2,0.049885003,1,,,,,,,,2,0.049885003,,Threshold,0.044845862
3,0.049827604,1,,,,,,,,3,0.049827604,,,
4,0.049770271,1,,,,,,,,4,0.049770271,,,
5,0.049713004,1,,,,,,,,5,0.049713004,,,
6,0.049655802,1,,,,,,,,6,0.049655802,,,
7,0.049598667,1,,,,,,,,7,0.049598667,,,
8,0.049541597,1,,,,,,,,8,0.049541597,,,
9,0.049484593,1,,,,,,,,9,0.049484593,,,
10,0.049427655,1,,,,,,,,10,0.049427655,,,
11,0.049370782,1,,,,,,,,11,0.049370782,,,
12,0.049313974,1,,,,,,,,12,0.049313974,,,
13,0.049257232,1,,,,,,,,13,0.049257232,,,
14,0.049200555,1,,,,,,,,14,0.049200555,,,
15,0.049143944,1,,,,,,,,15,0.049143944,,,
16,0.049087397,1,,,,,,,,16,0.049087397,,,
17,0.049030916,1,,,,,,,,17,0.049030916,,,
18,0.048974499,1,,,,,,,,18,0.048974499,,,
19,0.048918148,1,,,,,,,,19,0.048918148,,,
20,0.048861861,1,,,,,,,,20,0.048861861,,,
21,0.048805639,1,,,,,,,,21,0.048805639,,,
22,0.048749482,1,,,,,,,,22,0.048749482,,,
23,0.048693389,1,,,,,,,,23,0.048693389,,,
24,0.048637361,1,,,,,,,,24,0.048637361,,,
25,0.048581398,1,,,,,,,,25,0.048581398,,,
26,0.048525498,1,,,,,,,,26,0.048525498,,,
27,0.048469663,1,,,,,,,,27,0.048469663,,,
28,0.048413893,1,,,,,,,,28,0.048413893,,,
29,0.048358186,1,,,,,,,,29,0.048358186,,,
30,0.048302544,1,,,,,,,,30,0.048302544,,,
31,0.048246966,1,,,,,,,,31,0.048246966,,,
32,0.048191451,1,,,,,,,,32,0.048191451,,,
33,0.048136001,1,,,,,,,,33,0.048136001,,,
34,0.048080614,1,,,,,,,,34,0.048080614,,,
35,0.048025291,1,,,,,,,,35,0.048025291,,,
36,0.047970032,1,,,,,,,,36,0.047970032,,,
37,0.047914836,1,,,,,,,,37,0.047914836,,,
38,0.047859704,1,,,,,,,,38,0.047859704,,,
39,0.047804635,1,,,,,,,,39,0.047804635,,,
40,0.047749629,1,,,,,,,,40,0.047749629,,,
41,0.047694687,1,,,,,,,,41,0.047694687,,,
42,0.047639808,1,,,,,,,,42,0.047639808,,,
43,0.047584992,1,,,,,,,,43,0.047584992,,,
44,0.04753024,1,,,,,,,,44,0.04753024,,,
45,0.04747555,1,,,,,,,,45,0.04747555,,,
46,0.047420923,1,,,,,,,,46,0.047420923,,,
47,0.047366359,1,,,,,,,,47,0.047366359,,,
48,0.047311858,1,,,,,,,,48,0.047311858,,,
49,0.04725742,1,,,,,,,,49,0.04725742,,,
50,0.047203044,1,,,,,,,,50,0.047203044,,,
51,0.047148731,1,,,,,,,,51,0.047148731,,,
52,0.04709448,1,,,,,,,,52,0.04709448,,,
53,0.047040292,1,,,,,,,,53,0.047040292,,,
54,0.046986166,1,,,,,,,,54,0.046986166,,,
55,0.046932102,1,,,,,,,,55,0.046932102,,,
56,0.0468781,1,,,,,,,,56,0.0468781,,,
57,0.046824161,1,,,,,,,,57,0.046824161,,,
58,0.046770284,1,,,,,,,,58,0.046770284,,,
59,0.046716468,1,,,,,,,,59,0.046716468,,,
60,0.046662715,1,,,,,,,,60,0.046662715,,,
61,0.046609024,1,,,,,,,,61,0.046609024,,,
62,0.046555394,1,,,,,,,,62,0.046555394,,,
63,0.046501826,1,,,,,,,,63,0.046501826,,,
64,0.046448319,1,,,,,,,,64,0.046448319,,,
65,0.046394875,1,,,,,,,,65,0.046394875,,,
66,0.046341491,1,,,,,,,,66,0.046341491,,,
67,0.046288169,1,,,,,,,,67,0.046288169,,,
68,0.046234909,1,,,,,,,,68,0.046234909,,,
69,0.046181709,1,,,,,,,,69,0.046181709,,,
70,0.046128571,1,,,,,,,,70,0.046128571,,,
71,0.046075494,1,,,,,,,,71,0.046075494,,,
72,0.046022479,1,,,,,,,,72,0.046022479,,,
73,0.045969524,1,,,,,,,,73,0.045969524,,,
74,0.04591663,1,,,,,,,,74,0.04591663,,,
75,0.045863797,1,,,,,,,,75,0.045863797,,,
76,0.045811025,1,,,,,,,,76,0.045811025,,,
77,0.045758313,1,,,,,,,,77,0.045758313,,,
78,0.045705662,1,,,,,,,,78,0.045705662,,,
79,0.045653072,1,,,,,,,,79,0.045653072,,,
80,0.045600542,1,,,,,,,,80,0.045600542,,,
81,0.045548073,1,,,,,,,,81,0.045548073,,,
82,0.045495664,1,,,,,,,,82,0.045495664,,,
83,0.045443315,1,,,,,,,,83,0.045443315,,,
84,0.045391027,1,,,,,,,,84,0.045391027,,,
85,0.045338798,1,,,,,,,,85,0.045338798,,,
86,0.04528663,1,,,,,,,,86,0.04528663,,,
87,0.045234522,1,,,,,,,,87,0.045234522,,,
88,0.045182474,1,,,,,,,,88,0.045182474,,,
89,0.045130485,1,,,,,,,,89,0.045130485,,,
90,0.045078557,1,,,,,,,,90,0.045078557,,,
91,0.045026688,1,,,,,,,,91,0.045026688,,,
92,0.044974879,1,,,,,,,,92,0.044974879,,,
93,0.04492313,1,,,,,,,,93,0.04492313,,,
94,0.04487144,1,,,,,,,,94,0.04487144,,,
95,0.044819809,1,,,,,,,,95,0.044819809,,,
96,0.044768238,1,,,,,,,,96,0.044768238,,,
97,0.044716727,1,,,,,,,,97,0.044716727,,,
98,0.044665274,1,,,,,,,,98,0.044665274,,,
99,0.044613881,1,,,,,,,,99,0.044613881,,,
